Estado: (0, 5), Acción: (1, 0), Nueva posición: [1, 5], Recompensa: -0.1
Estado: (1, 5), Acción: (0, 1), Nueva posición: [1, 6], Recompensa: -0.1
Estado: (1, 6), Acción: (1, 0), Nueva posición: [1, 6], Recompensa: -1
Estado: (1, 6), Acción: (-1, 0), Nueva posición: [1, 6], Recompensa: -1
Estado: (1, 6), Acción: (0, 1), Nueva posición: [1, 7], Recompensa: -0.1
Estado: (1, 7), Acción: (-1, 0), Nueva posición: [0, 7], Recompensa: -0.1
Estado: (0, 7), Acción: (0, 1), Nueva posición: [0, 7], Recompensa: -1
Estado: (0, 7), Acción: (-1, 0), Nueva posición: [0, 7], Recompensa: -1
Estado: (0, 7), Acción: (1, 0), Nueva posición: [1, 7], Recompensa: -0.1
Estado: (1, 7), Acción: (1, 0), Nueva posición: [1, 7], Recompensa: -1
Estado: (1, 7), Acción: (0, 1), Nueva posición: [1, 7], Recompensa: -1
Estado: (1, 7), Acción: (0, -1), Nueva posición: [1, 6], Recompensa: -0.1
Estado: (1, 6), Acción: (0, 1), Nueva posición: [1, 7], Recompensa: -0.1
Estado: (1, 7), Acción: (-1, 0), Nueva posición: [0, 7], Recompensa: -0.1
Estado: (0, 7), Acción: (0, -1), Nueva posición: [0, 7], Recompensa: -1
Estado: (0, 7), Acción: (1, 0), Nueva posición: [1, 7], Recompensa: -0.1
Estado: (1, 7), Acción: (0, -1), Nueva posición: [1, 6], Recompensa: -0.1
Estado: (1, 6), Acción: (0, -1), Nueva posición: [1, 5], Recompensa: -0.1
Estado: (1, 5), Acción: (1, 0), Nueva posición: [2, 5], Recompensa: -0.1
Estado: (2, 5), Acción: (0, 1), Nueva posición: [2, 5], Recompensa: -1
Estado: (2, 5), Acción: (1, 0), Nueva posición: [3, 5], Recompensa: -0.1
Estado: (3, 5), Acción: (0, 1), Nueva posición: [3, 6], Recompensa: -0.1
Estado: (3, 6), Acción: (-1, 0), Nueva posición: [3, 6], Recompensa: -1
Estado: (3, 6), Acción: (1, 0), Nueva posición: [3, 6], Recompensa: -1
Estado: (3, 6), Acción: (0, 1), Nueva posición: [3, 7], Recompensa: -0.1
Estado: (3, 7), Acción: (-1, 0), Nueva posición: [3, 7], Recompensa: -1
Estado: (3, 7), Acción: (1, 0), Nueva posición: [3, 7], Recompensa: -1
Estado: (3, 7), Acción: (0, 1), Nueva posición: [3, 7], Recompensa: -1
Estado: (3, 7), Acción: (0, -1), Nueva posición: [3, 6], Recompensa: -0.1
Estado: (3, 6), Acción: (0, 1), Nueva posición: [3, 7], Recompensa: -0.1
Estado: (3, 7), Acción: (0, -1), Nueva posición: [3, 6], Recompensa: -0.1
Estado: (3, 6), Acción: (0, -1), Nueva posición: [3, 5], Recompensa: -0.1
Estado: (3, 5), Acción: (1, 0), Nueva posición: [4, 5], Recompensa: -0.1
Estado: (4, 5), Acción: (0, -1), Nueva posición: [4, 4], Recompensa: -0.1
Estado: (4, 4), Acción: (0, -1), Nueva posición: [4, 3], Recompensa: -0.1
Estado: (4, 3), Acción: (1, 0), Nueva posición: [5, 3], Recompensa: -0.1
Estado: (5, 3), Acción: (1, 0), Nueva posición: [6, 3], Recompensa: -0.1
Estado: (6, 3), Acción: (-1, 0), Nueva posición: [5, 3], Recompensa: -0.1
Estado: (5, 3), Acción: (-1, 0), Nueva posición: [4, 3], Recompensa: -0.1
Estado: (4, 3), Acción: (0, -1), Nueva posición: [4, 2], Recompensa: -0.1
Estado: (4, 2), Acción: (0, -1), Nueva posición: [4, 1], Recompensa: -0.1
Estado: (4, 1), Acción: (1, 0), Nueva posición: [5, 1], Recompensa: -0.1
Estado: (5, 1), Acción: (-1, 0), Nueva posición: [4, 1], Recompensa: -0.1
Estado: (4, 1), Acción: (-1, 0), Nueva posición: [3, 1], Recompensa: -0.1
Estado: (3, 1), Acción: (-1, 0), Nueva posición: [2, 1], Recompensa: -0.1
Estado: (2, 1), Acción: (0, 1), Nueva posición: [2, 2], Recompensa: -0.1
Estado: (2, 2), Acción: (0, 1), Nueva posición: [2, 3], Recompensa: -0.1
Estado: (2, 3), Acción: (-1, 0), Nueva posición: [1, 3], Recompensa: -0.1
Estado: (1, 3), Acción: (0, 1), Nueva posición: [1, 3], Recompensa: -1
Estado: (1, 3), Acción: (-1, 0), Nueva posición: [0, 3], Recompensa: -0.1
Estado: (0, 3), Acción: (0, 1), Nueva posición: [0, 4], Recompensa: -0.1
Estado: (0, 4), Acción: (0, 1), Nueva posición: [0, 5], Recompensa: -0.1
Estado: (0, 5), Acción: (1, 0), Nueva posición: [1, 5], Recompensa: -0.1
Estado: (1, 5), Acción: (-1, 0), Nueva posición: [0, 5], Recompensa: -0.1
Estado: (0, 5), Acción: (0, -1), Nueva posición: [0, 4], Recompensa: -0.1
